Class,Day,Start,End,Link
Class 1,Monday,08:00,11:00,15694440
Class 2,Monday,12:00,15:00,15694440
Class 1,Tuesday,08:00,11:00,https://core.xjtlu.edu.cn/mod/bigbluebuttonbn/view.php?id=253978
Class 2,Tuesday,12:00,15:00,https://core.xjtlu.edu.cn/mod/bigbluebuttonbn/view.php?id=253978
Project Work,Friday,08:00,11:00,https://core.xjtlu.edu.cn/mod/bigbluebuttonbn/view.php?id=253977
Feedback Review,Friday,12:00,16:00,https://core.xjtlu.edu.cn/mod/bigbluebuttonbn/view.php?id=254961
Test,Monday,00:00,03:00,1569440





